peril	n. 严重危险
experienced	a. 有经验的；熟练的
confess	v. 承认；坦白
murder	n. & v. 谋杀
mortgage	n. 按揭贷款
cite	v. 引用；列举
account	n. 账户；描述 v. 认为是
accountable	a. 负责任的
discount	n. 折扣
charge	n. 收费；控告；掌管；电荷 v. 收费；控诉；充电
organism	n. 有机体；生物体
journalism	n. 新闻业
journal	n. 杂志；期刊；日记
capital	n. 资本；首都；大写字母
credit	n. 信用；信用贷款
incredible	a. 难以置信的；极好的
civil	a. 公民的；民事的
citizen	n. 市民
civilization	n. 文明；开化
campaign	n. 活动；战役
campus	n. 校园
barrier	n. 屏障；障碍
squeeze	v. 挤；压
aptitude	n. 能力；天赋
adapt	v. 改编；适应
phase	n. 阶段；时期
cabinet	n. 橱柜；内阁
blanket	n. 毛毯 a. 总括的
bundle	n. 捆；一批
sparkle	n. 光；活力；vi. 闪耀
startle	vt. 使惊吓
packet	n. 小包
scenery	n. 风景；舞台布景
anchor	n. 锚 v. 抛锚
custom	n. 风俗；习惯
counter	n. 柜台；对立面 a. 相反的 v. 反对
shelter	n. 隐蔽处 v. 遮挡；保护
hinder	vt. 妨碍；阻碍
contend	v. 声称；主张；竞争
content	n. 内容；目录 [kənˈtent] a. 满意的 v. 使满意
imply	v. 暗示；说明
implicit	a. 含蓄的；隐含的
implication	n. 可能的影响；暗指；牵涉
flexible	a. 灵活的
debate	n & v. 讨论；辩论
declare	v. 声明；宣告
detail	n. 细节；详情
determine	v. 决定；决心
devote	vt. 奉献；专用于
devotion	n. 奉献；忠诚
decline	v. & n. 减少；下落
medium	n. 媒介；a. 中等的
immediate	a. 立即的；目前的
intermediate	a. 中间的；中级的
command	vt. 要求
recommend	vt. 推荐；劝告
minister	n. 部长；大臣
minor	a. 较小的；次要的
complex	a. 复杂的
prominent	a. 突出的；杰出的
edition	n. 版本
editor	n. 编辑；编者
radical	a. 激进的；根本的 n. 激进分
ample	a. 充足的；足够的
voyage	vi. & n. 航行；航海
bonus	n. 奖金；红利
migrate	v. 迁徙；移居
migrant	n. 候鸟；移居者
obese	a. 肥胖的；病态肥胖的
bid	v. & n. 出价；投标；努力争取
glory	n. 荣誉；光荣；荣耀
judgement	(亦作 judgment) n. 判断；审判；意见
liquid	n. 液体 a. 液体的
diminish	v. 减少；降低
delete	vt. 删除
delighted	a. 高兴的；快乐的
deny	vt. 否定；否认；拒绝
department	n. 部门；部；司
deposit	v. 储存；放置 n. 订金；存
despite	prep. 尽管；不管
domestic	a. 国内的；家庭的；驯养的
partial	a. 部分的；偏袒的
depart	v. 离开；出发；启程；离职
departure	n. 离开；启程
derive	vi. 起源 ；获得
deprive	v. 剥夺；使丧失
particle	n. 粒子；微粒
particularly	ad. 特别地；尤其；格外
circuit	n. 环行；巡回；电路
circular	a. 圆的；环形的；循环的
circulate	v. (使）循环 vi. 流传
extend	v. 延长；扩大
extension	n. 扩大；延伸
extensive	a. 广阔的；广泛的
comparative	a. 比较的；相对的
appear	v. 出现
appearance	n. 外貌；到来
parade	n. 游行；检阅 vi. 游行
separate	a. 单独的；分开的；不同的 v. (使）分离
parallel	a. 平行的；类似的
rhythm	n. 节奏；韵律
drawback	n. 缺点；缺陷；不利条件
graceful	a. 优美的；优雅的；得体的
gratitude	n. 感谢；感激
peculiar	a. 奇怪的；特殊的
guidance	n. 指导；引导
significance	n. 意义；重要性
tolerate	vt. 忍受；容忍；宽恕
tolerance	n. 忍受；宽容；耐性
tolerant	a. 容忍的；宽容的
assistance	n. 协助；援助
prohibit	vt. 禁止；阻止
prompt	a. 迅迷的；立刻的 v. 敦促；激起
propose	vt. 提议 v. 求婚
protest	v. & n. 抗议
provided	conj. 以……为条件；假如
provision	n. 预备；供应；规定；条款
proclaim	vt. 宣布；表明
provoke	vt. 激怒；引起
purchase	vt. & n. 购买
pursue	vt. 追求；追赶
pursuit	n. 追赶；追求；爱好
defeat	vt. 战胜；击败 n. 失败
deceive	vt. 欺骗；辜负
defy	vt. 反抗；使不能
anxious	a. 焦虑的；渴望的
harmony	n. 融洽；和谐
harmonious	a. 和谐的；协调的
infect	v. 传染
infectious	a. 传染的；有感染力的
spacious	a. 宽敞的；广阔的
conscientious	a. 勤勉认真的；一丝不苟的
prosperous	a. 繁荣的
prosperity	n. 繁荣；昌盛；兴旺
ambitious	a. 有雄心壮志的
obvious	a. 明显的；显而易见的
tedious	a. 冗长乏味的；沉闷的
conscious	a. 意识到的；有意的；刻意的
consciousness	n. 意识；观念
despair	n. & v. 绝望
detective	n. 侦探 a. 侦探的
detect	v. 发现；查明
decay	n. & v. 衰退；腐烂；腐朽
tremendous	a. 巨大的；极大的
marvelous	a. 让人惊讶的；极好的
jealous	a. 妒忌的
numerous	a. 为数众多的；许多的
poison	n. 毒药
poisonous	a. 有毒的；有害的
demonstrate	v. 证明；证实
deputy	n. 副手；代理
continuous	a. 连续不断的；持续的
enormous	a. 巨大的；庞大的
authority	n. 权力；权威
aware	a. 意识到的；知道的
ashamed	a. 羞愧的；惭愧的
amuse	vt. 逗乐；娱乐
deliberate	a. 故意的；不慌不忙的 v. 仔细考虑
deliberately	ad. 故意；不慌不忙地
award	n. 奖品；奖金
deteriorate	v. 恶化
arise	vi. 出现；由……引起；起来
arouse	vt. 唤醒；引起；激起
concept	n. 概念；观念；理念
avenue	n. 大街；林荫道；途径
capable	a. 有能力的；有才能的
occupy	vt. 占领；占用
occupation	n. 占领；职业
perceive	vt. 理解；察觉；感觉
reception	n. 接待（处）；招待会；接收
defense	n. 防卫；保护；辨护
occasion	n. 时机；场合
occasional	a. 偶然的；临时的
cable	n. 缆；索；电缆
region	n. 地区；地带；领城
regulate	vt. 管理；控制；调整；调节
royal	a. 王室的；皇家的；盛大的
bankrupt	a. & n. & v. 倒闭
corrupt	a. 贪污的 vt. 使腐化；使堕落
disrupt	vt. 扰乱；使中断
interrupt	v. 打断；打扰
moral	a. 道德的；合乎道德的 n. 道德；寓意
orbit	vt. 环绕……运行 n. 轨道
optimism	n. 乐观（主义）
antique	n. 文物 a. 陈旧的
nourish	vt. 滋养；养育
inferior	a. 下等的；级别低的
optional	a. 可选择的
adoption	n. 采用；收养
geology	n. 地质学；地质
sensible	a. 明智的；意识到的
sensitive	a. 敏感的；灵敏的
consent	n. & v. 同意；赞成
resent	vt. 愤恨；怨恨
represent	vt. 代表；陈述
representative	a. 典型的；有代表性的 n. 代表
fraction	n. 小部分；分数
fragment	n. 碎片；片段
principal	a. 主要的 n. 校长
principle	n. 原则
premier	n. 首相 a. 首要的
preferable	a. 更可取的；更好的
preference	n. 偏爱，喜爱
preliminary	a. 预备的；初步的
prejudice	n. 偏见；成见
pretend	v. 假装；装作
prevent	vt. 预防；防止
prevail	vi. 优胜；流行
precise	a. 精确的；清晰的
invade	v. 入侵 vt. 干扰
index	n. 索引；指标
indicate	vt. 表明；暗示
thoughtful	a. 沉思的；体贴的
considerate	a. 体贴的；体谅的
faithful	a. 忠诚的；如实的
fruitful	a. 成果丰硕的
calendar	n. 日历
scholar	n. 学者
lunar	a. 月亮的；阴历的
plentiful	a. 丰富的；富裕的
skillful	a. 灵巧的；熟练的
dynamic	a. & n. 动力的；有活力的
dramatic	a. 戏剧的
magnetic	a. 有磁性的；有吸引力的
alcohol	n. 酒精
diplomatic	a. 外交上的；灵活变通的
idealistic	a. 理想主义的；空想的
strategic	a. 战略性的；关键的
ethic	n. 道德规范；伦理学
pessimistic	a. 悲观的；悲观主义的
romantic	a. 浪漫的
academic	a. 学术的；学院的
characteristic	n. 特征 a. 典型的
cubic	a. 立方形的
brochure	n. 手册；小册子
assure	vt. 使确信
ensure	vt. 保证
insure	v. 投保；承保
insurance	n. 保险；保险费
panel	n. 嵌板；镶板；专家资讯组
punctual	a. 按时的；准时的
input	n. & v. 输入;投入资源
install	vt. 安装；任命
inclusive	a. 包含广阔的
instant	a. 立即的 n. 瞬间
instinct	n. 天性
institute	n. 机构；研究院
insult	vt. 侮辱；冒犯
investigate	v. 调查
insane	a. 精神失常的；疯狂的
implement	v. 实行 n. 工具
impulse	n. 冲动；推动力
inflate	v. 充气；膨胀
inflation	n. 通货膨胀
insight	n. 洞察力；领悟
intact	a. 完整的
intake	n. 吸收；摄取（量）
intrude	vi. 闯入；侵入
irregular	a. 不规则的；非正规的
irrigate	vt. 灌溉；冲洗
object	n. 物体；目标 [əbˈdʒekt] vi. 反对
oblige	vt. 迫使；帮忙
obstacle	n. 障碍；障碍物
vague	a. 含糊的；不明确的
error	n. 错误；差错
miserable	a. 痛苦的；悲惨的
construct	vt. 建造；建设
structure	n. 结构；构造；建筑物
destruction	n. 破坏；毁灭
instruction	n. 教授；指导；命令
instrument	n. 仪器；工具；乐器；手段
navy	n. 海军
navigate	v.导肮；航行
pump	n. 泵 vt. (用泵）抽送
prescribe	vt. 开（处方）
artificial	a. 人造的；虚伪的
privilege	n. 特权；优惠
infer	v. 推断；推论
vital	a. 至关重要的；生命的；充满生机的
vigor	n. 活力；精力；热情
vigorous	a. 充满活力的
vivid	a. 生动的；清晰的
enclose	vt. 围住
exclusively	ad. 排外地；专门地
